40
1	12 	4 	1	3	
2	14	0	0	6
3 	2	11	3	4
4 	3	10	5	2
5 	12	3	1	4
6 	3	0	3	14
7 	14	1	1	4
8 	12	7	1	0
9	5	4	8	3
10 	7	6	1	6
11	1	1	13	5
12	0	2	2	16
13	0	2	11	7
14	6	7	5	2
15	19	1	0	0
16	6	0	0	14
17	4	0	1	15
18	0	1	17	2
19	11	8	1	0
20	17	0	0	3
21	15	0	1	4
22	2	0	5	13
23	11	3	5	1
24	10	9	1	0
25	1	18	0	1
26	9	0	2	9
27	0	0	18	2
28	16	2	0	2
29	18	1	0	1
30	2	5	7	6
31	11	4	1	4
32	5	0	4	11
33	2	0	1	17
34	1	17	2	0
35	2	9	5	4
36	2	1	14	3
37	1	3	13	3
38	17	0	0	3
39	19	0	0	1
40	2	1	1	16
